Solving Time,Building Time,Total Time
65366.78100019344,25402.67700169352,90769.45800188696
65770.84000309696,24043.10600104509,89813.94600414205
66624.36300030095,22648.163998383097,89272.52699868404
67470.77899854048,23525.929002062185,90996.70800060267
66061.00800127024,27397.873996960698,93458.88199823094
66956.50199981174,26534.860000538174,93491.36200034991
66399.21700116247,26488.206000067294,92887.42300122976
66451.5369971923,23978.416000318248,90429.95299751055
67190.77299931087,26564.497999061132,93755.270998372
60540.60500173364,22204.80700270855,82745.41200444219
65513.89299784205,28750.874997058418,94264.76799490047
64774.17000132846,26931.06600054307,91705.23600187153
64222.082000924274,26538.415000686655,90760.49700161093
65203.55400061817,29428.08599982527,94631.64000044344
66626.20100178174,23228.887999721337,89855.08900150307
66825.3449985059,22627.86000210326,89453.20500060916
68140.05699925474,23490.588999266038,91630.64599852078
64189.289001660654,25457.918000029167,89647.20700168982
62762.54899785272,22142.96200327226,84905.51100112498
65490.47500084271,21498.72300287825,86989.19800372096
63518.70099751977,22059.57899786881,85578.27999538858
65684.31399864494,24288.3789978805,89972.69299652544
64102.35799921793,23876.28300130018,87978.64100051811
60647.42499802378,20658.97899956326,81306.40399758704
64429.639001900796,21953.13600168447,86382.77500358527
64607.08599843201,23531.50799899595,88138.59399742796
66555.655997945,23300.93999989913,89856.59599784412
66360.52699832362,29853.39500082773,96213.92199915135
66472.74099668721,27757.646999816643,94230.38799650385
66854.08699922846,23453.368001355557,90307.45500058401
67030.37800252787,23737.229999824194,90767.60800235206
67846.44900108106,29734.724001173163,97581.17300225422
96555.5110014975,24032.516997976927,120588.02799947443
123140.21999918623,39658.6210008536,162798.84100003983
121407.76399974129,52627.72599962773,174035.48999936902
126402.53299832693,41115.32300157705,167517.855999904
126916.69600098976,40173.13499934971,167089.83100033947
126108.08400131646,41331.20799815515,167439.2919994716
120744.12500078324,40696.70599710662,161440.83099788986
126129.76899981732,40945.21599836298,167074.9849981803
123414.53599947272,43224.33799825376,166638.87399772648
126257.90200036136,48835.107998456806,175093.00999881816
126189.66800073395,42264.782001439016,168454.45000217296
125617.75200083503,42612.01600093045,168229.76800176548
125985.465998383,40027.434999501565,166012.90099788457
126368.02700217231,40383.028997894144,166751.05600006646
125488.96899897954,42475.806003494654,167964.7750024742
126375.14100060798,41761.033000511816,168136.1740011198
125859.65499965823,39782.95700289891,165642.61200255714
118705.97300003283,41868.440002872376,160574.4130029052
