Bin,Item,Size,Bin Load,Remaining Capacity
0,0,42,84,14
0,1,42,84,14
1,2,41,98,0
1,3,41,98,0
1,112,16,98,0
2,4,40,98,0
2,5,40,98,0
2,105,18,98,0
3,6,39,98,0
3,7,39,98,0
3,93,20,98,0
4,8,39,98,0
4,9,38,98,0
4,88,21,98,0
5,10,38,98,0
5,11,38,98,0
5,82,22,98,0
6,12,37,98,0
6,13,37,98,0
6,74,24,98,0
7,14,37,98,0
7,15,37,98,0
7,75,24,98,0
8,16,36,98,0
8,17,36,98,0
8,62,26,98,0
9,18,36,98,0
9,19,36,98,0
9,63,26,98,0
10,20,35,98,0
10,21,35,98,0
10,51,28,98,0
11,22,35,98,0
11,23,35,98,0
11,52,28,98,0
12,24,35,98,0
12,25,34,98,0
12,47,29,98,0
13,26,34,98,0
13,27,34,98,0
13,43,30,98,0
14,28,34,98,0
14,29,34,98,0
14,44,30,98,0
15,30,34,98,0
15,31,33,98,0
15,40,31,98,0
16,32,33,98,0
16,33,33,98,0
16,36,32,98,0
17,34,33,98,0
17,35,33,98,0
17,37,32,98,0
18,38,32,95,3
18,39,32,95,3
18,41,31,95,3
19,42,31,91,7
19,45,30,91,7
19,46,30,91,7
20,48,29,87,11
20,49,29,87,11
20,50,29,87,11
21,53,28,98,0
21,54,28,98,0
21,55,27,98,0
21,115,15,98,0
22,56,27,98,0
22,57,27,98,0
22,58,27,98,0
22,109,17,98,0
23,59,27,98,0
23,60,27,98,0
23,61,27,98,0
23,110,17,98,0
24,64,26,98,0
24,65,26,98,0
24,66,25,98,0
24,89,21,98,0
25,67,25,98,0
25,68,25,98,0
25,69,25,98,0
25,78,23,98,0
26,70,25,98,0
26,71,25,98,0
26,72,25,98,0
26,79,23,98,0
27,73,25,96,2
27,76,24,96,2
27,77,24,96,2
27,80,23,96,2
28,81,23,89,9
28,83,22,89,9
28,84,22,89,9
28,85,22,89,9
29,86,22,86,12
29,87,22,86,12
29,90,21,86,12
29,91,21,86,12
30,92,21,98,0
30,94,20,98,0
30,95,20,98,0
30,96,20,98,0
30,111,17,98,0
31,97,20,98,0
31,98,20,98,0
31,99,20,98,0
31,100,20,98,0
31,106,18,98,0
32,101,19,94,4
32,102,19,94,4
32,103,19,94,4
32,104,19,94,4
32,107,18,94,4
33,108,18,80,18
33,113,16,80,18
33,114,16,80,18
33,116,15,80,18
33,117,15,80,18
